Lil' B's dad,Arodo,Dawn of crytpo,JN,Zaclele,Numanuma,DollarBillClinton,Mati Roy,SquatBandit,Big Swinging Donkey,CryptoElite,Kryptonite,🔝 🎩 🤠,Shopolopoulopoulos,HotBatTakesTheCake,stooart,LONG ETH,Jho,Choukilele,mc_scrad,LONG BTC,Felicia Bootylicious
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232305627,0.240549268,0.203687616,0.150316315,0.003218989,0.589025081,0.46124939,0.26419747,0.367455861,0.417733484,0.198317964,0.930784002,0.31408456,0.31408456,0.903683002,0.543649759,0.540953345,0.410832996,0.30011929,0.475782588,0.120593215,0.120593215
0.460677847,0.47772297,0.403775514,0.298035783,0.005410029,1.170059828,0.916425212,0.52460306,0.729343134,0.829473312,0.394010874,1.849867843,0.623603403,0.623603403,1.796201404,1.080450437,1.075238733,0.816208781,0.596115729,0.945216623,0.239176142,0.239176142
0.685137278,0.711537872,0.600284016,0.443172428,0.006579533,1.743144304,1.365557469,0.781236406,1.085692313,1.235249327,0.58709442,2.75731516,0.928580725,0.928580725,2.677612274,1.610437976,1.602888664,1.216155013,0.888010013,1.408334321,0.355759373,0.355759373
0.905704538,0.942010739,0.793233446,0.585740274,0.006733913,2.308318573,1.808676167,1.034117141,1.436533892,1.635091371,0.777584291,3.653189593,1.22904072,1.22904072,3.547972684,2.133648318,2.123935637,1.610699347,1.175822839,1.865167897,0.470353504,0.470353504
1.122400243,1.169158336,0.982644128,0.725753346,0.005879582,2.865622698,2.24581131,1.2832649,1.781898366,2.02902929,0.965496178,4.53755478,1.525007584,1.525007584,4.407339701,2.650117405,2.63841215,1.999869441,1.459574903,2.315749568,0.582969128,0.582969128
1.33524501,1.392997429,1.168536386,0.863225668,0.004022953,3.415096743,2.6769929,1.528699318,2.121816229,2.417092924,1.15084577,5.410474357,1.816505512,1.816505512,5.255770397,3.159881179,3.146350703,2.38369295,1.7392869,2.760111549,0.69361684,0.69361684
1.544259458,1.613544781,1.350930542,0.998171264,0.001170438,3.956780771,3.102250943,1.770440028,2.456317976,2.799312119,1.333648757,6.272011965,2.103558698,2.103558698,6.093321841,3.662975583,3.647783794,2.76219753,2.014979528,3.198286056,0.802307233,0.802307233
1.749464203,1.83081716,1.52984692,1.130604158,-0.002671549,4.490714845,3.521615443,2.008506666,2.7854341,3.175716717,1.51392083,7.12223124,2.386191338,2.386191338,6.920051102,4.159436557,4.142743923,3.135410839,2.286673482,3.630305305,0.909050902,0.909050902
1.950879863,2.04483133,1.705305845,1.260538375,-0.007496595,5.01693903,3.935116404,2.242918865,3.109195096,3.546336562,1.691677678,7.961195822,2.664427626,2.664427626,7.73601525,4.649300043,4.631263587,3.503360533,2.554389458,4.056201511,1.01385844,1.01385844
